name,supplier_primary_email,supplier_secondary_email,supplier_type,supplier_business_name,supplier_business_register_no,contact_no,address,description,supplier_website,supplier_tel_no,supplier_mobile,supplier_fax,supplier_city,supplier_location_latitude,supplier_location_longitude,email,asset_categories
Dell Inc,sales.primary@dell.com,sales.secondary@dell.com,Company,Dell Inc,BR123456789,+1-800-999-3355,"One Dell Way, Round Rock, TX 78682",Leading technology solutions provider,https://www.dell.com,+1-800-999-3355,+1-800-999-3356,+1-800-999-3357,Round Rock,30.5085,-97.6789,sales@dell.com,"Electronics,IT Equipment"
Microsoft Corporation,enterprise.primary@microsoft.com,enterprise.secondary@microsoft.com,Company,Microsoft Corporation,BR234567890,+1-800-642-7676,"One Microsoft Way, Redmond, WA 98052",Global technology leader,https://www.microsoft.com,+1-800-642-7676,+1-800-642-7677,+1-800-642-7678,Redmond,47.6397,-122.1284,enterprise@microsoft.com,"Software,IT Equipment"
Office Depot,business.primary@officedepot.com,business.secondary@officedepot.com,Company,Office Depot Inc,BR345678901,+1-800-463-3768,"6600 North Military Trail, Boca Raton, FL",Office supplies and furniture specialist,https://www.officedepot.com,+1-800-463-3768,+1-800-463-3769,+1-800-463-3770,Boca Raton,26.3683,-80.1289,business@officedepot.com,"Stationery,Furniture"
3M Company,industrial.primary@3m.com,industrial.secondary@3m.com,Company,3M Company,BR456789012,+1-888-364-3577,"3M Center, St. Paul, MN 55144",Innovation in safety and medical products,https://www.3m.com,+1-888-364-3577,+1-888-364-3578,+1-888-364-3579,St. Paul,44.9537,-93.0900,industrial@3m.com,"Safety Equipment,Medical Supplies"
HP Inc,enterprise.primary@hp.com,enterprise.secondary@hp.com,Company,HP Inc,BR567890123,+1-800-752-0900,"1501 Page Mill Road, Palo Alto, CA 94304",Computing and printing solutions,https://www.hp.com,+1-800-752-0900,+1-800-752-0901,+1-800-752-0902,Palo Alto,37.4419,-122.1430,enterprise@hp.com,Electronics
Grainger,sales.primary@grainger.com,sales.secondary@grainger.com,Company,W.W. Grainger Inc,BR678901234,+1-800-472-4643,"100 Grainger Parkway, Lake Forest, IL 60045",Industrial supply and equipment,https://www.grainger.com,+1-800-472-4643,+1-800-472-4644,+1-800-472-4645,Lake Forest,42.2459,-87.8406,sales@grainger.com,"Tools,Safety Equipment,Machinery"
CDW Corporation,enterprise.primary@cdw.com,enterprise.secondary@cdw.com,Company,CDW Corporation,BR789012345,+1-800-800-4239,"200 N Milwaukee Ave, Vernon Hills, IL 60061",Technology solutions provider,https://www.cdw.com,+1-800-800-4239,+1-800-800-4240,+1-800-800-4241,Vernon Hills,42.2194,-87.9595,enterprise@cdw.com,"Electronics,IT Equipment"
Staples Inc,business.primary@staples.com,business.secondary@staples.com,Company,Staples Inc,BR890123456,+1-800-333-3330,"500 Staples Drive, Framingham, MA 01702",Office essentials and supplies,https://www.staples.com,+1-800-333-3330,+1-800-333-3331,+1-800-333-3332,Framingham,42.2793,-71.4162,business@staples.com,"Stationery,Furniture"
John Smith,jsmith.primary@techsupply.com,jsmith.secondary@techsupply.com,Individual,Tech Supply Solutions,BR901234567,+1-555-123-4567,"123 Tech Drive, San Jose, CA 95110",Independent technology consultant,https://www.techsupply.com,+1-555-123-4568,+1-555-123-4569,+1-555-123-4570,San Jose,37.3382,-121.8863,jsmith@techsupply.com,"Electronics,IT Equipment"
Sarah Johnson,sjohnson.primary@furnishpro.com,sjohnson.secondary@furnishpro.com,Individual,Furnish Pro,BR012345678,+1-555-234-5678,"456 Furniture Blvd, Dallas, TX 75201",Professional furniture supplier,https://www.furnishpro.com,+1-555-234-5679,+1-555-234-5680,+1-555-234-5681,Dallas,32.7767,-96.7970,sjohnson@furnishpro.com,"Furniture,Stationery"
