item_id,item_name,item_description,category_name,item_category_type_name,type_name,unit_of_measure_name,purchase_price,purchase_price_currency_code,selling_price,selling_price_currency_code,max_inventory_level,min_inventory_level,re_order_level,low_stock_alert,over_stock_alert,image_links
ITM001,Ethernet Connector 246,High-speed network equipment,Network Equipment,Consumables,Non-Perishable,Meter,84.69,USD,116.83,USD,461,12,15,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/ethernet_connector.jpg"", ""alt"": ""Ethernet Connector 246""}]}"
ITM002,Ethernet Connector 438,Reliable connectivity,Network Equipment,Consumables,Perishable,Meter,89.11,USD,124.1,USD,309,28,30,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/ethernet_connector.jpg"", ""alt"": ""Ethernet Connector 438""}]}"
ITM003,Network Cable CAT6 87,High-speed network equipment,Network Equipment,Consumables,Non-Perishable,Meter,23.72,USD,30.88,USD,386,12,17,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/network_cable_cat6.jpg"", ""alt"": ""Network Cable CAT6 87""}]}"
ITM004,A4 Paper 59,Smooth and professional,Office Supplies,Consumables,Perishable,Piece,92.83,USD,122.44,USD,426,10,73,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/a4_paper.jpg"", ""alt"": ""A4 Paper 59""}]}"
ITM005,Cleaning Kit 901,Eco-friendly materials,Maintenance,Consumables,Non-Perishable,Piece,145.49,USD,160.97,USD,173,16,16,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/cleaning_kit.jpg"", ""alt"": ""Cleaning Kit 901""}]}"
ITM006,Notebook 848,High quality for office use,Office Supplies,Consumables,Perishable,Piece,69.77,USD,93.97,USD,380,15,73,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/notebook.jpg"", ""alt"": ""Notebook 848""}]}"
ITM007,Notebook 17,High quality for office use,Office Supplies,Consumables,Non-Perishable,Piece,185.74,USD,207.98,USD,291,21,41,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/notebook.jpg"", ""alt"": ""Notebook 17""}]}"
ITM008,Mop 97,Eco-friendly materials,Maintenance,Consumables,Non-Perishable,Piece,19.91,USD,28.05,USD,312,16,19,TRUE,FALSE,"{""images"": [{""url"": ""/uploads/items/mop.jpg"", ""alt"": ""Mop 97""}]}"
ITM009,Switch 128,Reliable connectivity,Network Equipment,Consumables,Non-Perishable,Meter,119.93,USD,143.1,USD,620,10,116,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/switch.jpg"", ""alt"": ""Switch 128""}]}"
ITM010,Sticky Notes 719,Smooth and professional,Office Supplies,Consumables,Non-Perishable,Piece,61.21,USD,80.25,USD,740,36,38,FALSE,TRUE,"{""images"": [{""url"": ""/uploads/items/sticky_notes.jpg"", ""alt"": ""Sticky Notes 719""}]}"
